City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,phan thiet,10.9333,108.1,27.18,91,100,3.12,VN,1683392901
1,katsuren-haebaru,26.3369,127.8719,25.22,88,100,5.0,JP,1683392901
2,paracuru,-3.41,-39.0306,29.5,64,46,6.19,BR,1683392887
3,adamstown,-25.066,-130.1015,21.93,84,100,5.39,PN,1683392901
4,lorengau,-2.0226,147.2712,27.09,83,31,2.14,PG,1683392902
5,puerto san jose,13.9256,-90.8244,33.29,48,81,3.14,GT,1683392902
6,queenstown,-31.8976,26.8753,16.38,61,98,3.22,ZA,1683392902
7,burutu,5.3509,5.5076,28.35,70,95,3.18,NG,1683392894
8,grytviken,-54.2811,-36.5092,3.79,96,100,5.76,GS,1683392902
9,arvayheer,46.2639,102.775,6.39,31,93,2.61,MN,1683392903
10,kailua-kona,19.6406,-155.9956,23.98,77,0,3.09,US,1683392903
11,lata,40.1629,-8.3327,22.18,59,70,4.82,PT,1683392903
12,port-aux-francais,-49.35,70.2167,4.31,57,57,13.16,TF,1683392903
13,port elizabeth,-33.918,25.5701,17.95,89,94,3.13,ZA,1683392904
14,papatowai,-46.5619,169.4708,10.76,95,26,2.62,NZ,1683392904
15,yellowknife,62.456,-114.3525,14.2,44,0,8.49,CA,1683392895
16,iqaluit,63.7506,-68.5145,-0.15,74,75,9.77,CA,1683392905
17,blackmans bay,-43.0167,147.3167,2.63,88,3,2.54,AU,1683392889
18,bethel,41.3712,-73.414,21.42,42,40,3.6,US,1683392905
19,ilulissat,69.2167,-51.1,0.01,86,75,2.57,GL,1683392895
20,yuxi,24.355,102.5422,18.7,58,2,1.42,CN,1683392907
21,nova sintra,14.8667,-24.7167,20.31,79,5,10.99,CV,1683392907
22,lebu,-37.6167,-73.65,14.47,81,46,6.56,CL,1683392907
23,kolwezi,-10.7148,25.4667,17.36,69,9,2.32,CD,1683392908
24,burang,30.25,81.1667,-1.11,94,69,3.01,CN,1683392908
25,zouerate,22.7187,-12.4521,32.95,9,0,7.18,MR,1683392909
26,atotonilco el grande,20.2833,-98.6667,24.78,32,13,2.23,MX,1683392909
27,maquoketa,42.0689,-90.6657,19.08,82,99,6.77,US,1683392909
28,atafu village,-8.5421,-172.5159,28.76,70,6,6.98,TK,1683392909
29,ribeira grande,38.5167,-28.7,18.22,94,75,8.23,PT,1683392910
30,howrah,22.5892,88.3103,30.0,79,20,4.12,IN,1683392910
31,edinburgh of the seven seas,-37.0676,-12.3116,15.94,73,99,9.27,SH,1683392910
32,vadso,70.0744,29.7487,6.49,65,76,1.54,NO,1683392910
33,kruisfontein,-34.0033,24.7314,16.05,89,88,3.66,ZA,1683392911
34,san antonio de pale,-1.4014,5.6325,27.54,78,100,3.04,GQ,1683392912
35,tambura,5.6,27.4667,28.09,50,49,1.83,SS,1683392912
36,west island,-12.1568,96.8225,25.99,94,100,2.06,CC,1683392912
37,montevideo,-34.8335,-56.1674,21.01,91,100,5.66,UY,1683392722
38,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1683392851
39,charters towers,-20.1,146.2667,17.45,82,37,2.71,AU,1683392701
40,jamestown,42.097,-79.2353,19.18,45,0,2.24,US,1683392837
41,nizhnyaya tavda,57.6731,66.1725,16.3,35,82,3.5,RU,1683392913
42,ushuaia,-54.8,-68.3,6.81,76,75,10.8,AR,1683392913
43,kudahuvadhoo,2.6708,72.8944,28.75,71,100,8.54,MV,1683392914
44,keflavik,64.0049,-22.5624,9.24,81,100,4.63,IS,1683392910
45,hawaiian paradise park,19.5933,-154.9731,22.16,94,40,2.57,US,1683392914
46,hasaki,35.7333,140.8333,21.79,74,91,12.2,JP,1683392914
47,medina,24.4686,39.6142,36.24,5,0,6.17,SA,1683392904
48,saudarkrokur,65.7461,-19.6394,7.94,77,100,1.95,IS,1683392914
49,dunfermline,56.0716,-3.4589,14.73,98,100,5.14,GB,1683392915
50,hermanus,-34.4187,19.2345,18.22,80,92,2.55,ZA,1683392450
51,fale old settlement,-9.3852,-171.2468,29.21,71,15,6.22,TK,1683392915
52,edd,13.9297,41.6925,29.65,73,54,4.56,ER,1683392915
53,sao gabriel da cachoeira,-0.1303,-67.0892,33.54,46,59,0.9,BR,1683392915
54,ola,59.5833,151.2833,-0.46,88,26,1.17,RU,1683392915
55,waitangi,-43.9535,-176.5597,14.34,90,100,2.24,NZ,1683392915
56,san patricio,28.017,-97.5169,30.92,62,67,8.27,US,1683392916
57,gornozavodsk,58.3758,58.3211,14.19,38,88,5.07,RU,1683392916
58,cole harbour,44.6724,-63.4751,17.32,49,54,6.26,CA,1683392916
59,puerto natales,-51.7236,-72.4875,10.25,46,40,7.72,CL,1683392908
60,balabac,7.9868,117.0645,26.32,75,100,4.59,PH,1683392916
61,mukalla,14.5425,49.1242,31.46,59,52,1.21,YE,1683392916
62,kodiak,57.79,-152.4072,4.73,87,100,2.06,US,1683392916
63,talnakh,69.4865,88.3972,-18.0,99,39,1.84,RU,1683392917
64,zhangye,38.9342,100.4517,8.53,58,100,2.31,CN,1683392917
65,afaahiti,-17.75,-149.2833,24.93,82,91,8.22,PF,1683392917
66,touros,-5.1989,-35.4608,29.56,65,39,6.93,BR,1683392915
67,tiksi,71.6872,128.8694,-16.06,100,91,2.0,RU,1683392917
68,lumberton,34.6182,-79.0086,26.29,41,20,2.57,US,1683392917
69,puerto ayora,-0.7393,-90.3518,29.98,89,58,3.58,EC,1683392918
70,sungai raya,0.7,108.9,26.61,87,100,1.95,ID,1683392918
71,punta arenas,-53.15,-70.9167,8.06,71,20,9.77,CL,1683392784
72,port alfred,-33.5906,26.891,17.88,88,68,2.24,ZA,1683392879
73,hamilton,39.1834,-84.5333,22.47,56,75,4.63,US,1683392810
74,college,64.8569,-147.8028,7.18,57,75,2.06,US,1683392918
75,san pedro pochutla,15.7333,-96.4667,34.28,49,89,3.33,MX,1683392918
76,arraial do cabo,-22.9661,-42.0278,26.92,65,40,5.66,BR,1683392918
77,stanley,54.868,-1.6985,16.82,84,0,4.12,GB,1683392919
78,tvoroyri,61.5556,-6.8111,8.1,96,98,6.34,FO,1683392919
79,miguel ahumada,30.6167,-106.5167,24.9,7,41,2.7,MX,1683392919
80,al ghayzah,16.2079,52.176,28.71,66,7,4.88,YE,1683392919
81,vizinga,61.0749,50.1031,3.98,93,100,2.28,RU,1683392919
82,vilyuchinsk,52.9306,158.4028,-0.97,88,99,2.74,RU,1683392919
83,sitka,57.0531,-135.33,6.94,76,75,0.0,US,1683392919
84,al hazm,16.1641,44.7769,31.96,28,72,4.32,YE,1683392919
85,holualoa,19.6228,-155.9522,21.91,79,0,3.09,US,1683392920
86,kalmunai,7.4167,81.8167,26.44,82,100,2.6,LK,1683392918
87,toliara,-23.35,43.6667,22.52,78,32,3.15,MG,1683392830
88,east london,-33.0153,27.9116,20.12,74,100,5.69,ZA,1683392920
89,taroa,8.7058,171.2275,27.69,82,100,8.24,MH,1683392920
90,aasiaat,68.7098,-52.8699,-1.08,87,100,1.23,GL,1683392920
91,la'ie,21.6477,-157.9253,24.23,78,39,2.24,US,1683392920
92,susuman,62.7833,148.1667,-8.03,88,12,0.19,RU,1683392920
93,invercargill,-46.4,168.35,8.34,95,18,1.34,NZ,1683392707
94,obock,12.25,43.0833,27.18,54,99,4.36,DJ,1683392921
95,turkmenbasy,40.0222,52.9552,13.43,76,0,3.09,TM,1683392921
96,zhangzhou,24.5133,117.6556,22.78,97,100,0.47,CN,1683392921
97,hadibu,12.65,54.0333,29.24,75,84,1.26,YE,1683392921
98,chul'man,56.8479,124.9104,-4.6,95,41,1.68,RU,1683392921
99,port lincoln,-34.7333,135.8667,12.83,58,74,4.61,AU,1683392921
100,flying fish cove,-10.4217,105.6791,26.82,89,40,3.09,CX,1683392921
101,thompson,55.7435,-97.8558,13.22,52,62,2.78,CA,1683392921
102,samfya,-11.3649,29.5565,18.94,54,9,2.32,ZM,1683392922
103,albertina,-22.2008,-46.6158,24.82,58,22,1.2,BR,1683392922
104,ancud,-41.8697,-73.8203,13.4,80,24,3.0,CL,1683392922
105,margaret river,-33.95,115.0667,15.73,54,96,5.02,AU,1683392922
106,sao tome,0.3365,6.7273,27.37,77,94,2.95,ST,1683392922
107,oroqen zizhiqi,50.5667,123.7167,4.56,47,87,1.32,CN,1683392762
108,bredasdorp,-34.5322,20.0403,16.19,82,77,5.16,ZA,1683392922
109,tharyarwady,17.65,95.8,29.97,68,11,2.98,MM,1683392922
110,maykop,44.6078,40.1058,15.39,87,100,2.79,RU,1683392923
111,west frankfort,37.8978,-88.9315,22.24,78,100,6.17,US,1683392593
112,rongelap,11.1635,166.8941,27.36,74,80,8.3,MH,1683392923
113,alofi,-19.0595,-169.9187,25.18,77,99,2.96,NU,1683392923
114,nuuk,64.1835,-51.7216,0.34,93,75,9.77,GL,1683392767
115,porto novo,6.4965,2.6036,29.71,65,54,4.09,BJ,1683392923
116,bamboo flat,11.7,92.7167,29.35,72,94,2.05,IN,1683392923
117,adre,13.4667,22.2,33.63,7,9,3.75,TD,1683392923
118,valle hermoso,25.6667,-97.8333,28.94,64,49,10.23,MX,1683392924
119,bengkulu,-3.8004,102.2655,24.83,92,100,3.81,ID,1683392924
120,tulagi,-9.0996,160.1476,28.13,79,73,4.85,SB,1683392924
121,hovd,48.0056,91.6419,2.84,97,100,3.0,MN,1683392924
122,dhidhdhoo,6.8833,73.1,28.88,72,100,5.71,MV,1683392924
123,albany,42.6001,-73.9662,20.88,41,10,0.89,US,1683392650
124,demirci,39.0461,28.6589,11.04,78,86,3.36,TR,1683392924
125,barra de santo antonio,-9.4047,-35.5072,30.6,65,8,3.5,BR,1683392924
126,isafjordur,66.0755,-23.124,5.94,94,100,1.91,IS,1683392925
127,vila franca do campo,37.7167,-25.4333,19.23,82,100,5.34,PT,1683392925
128,carolina beach,34.0352,-77.8936,27.04,56,45,3.76,US,1683392705
129,udachny,66.4167,112.4,-4.75,79,100,6.67,RU,1683392925
130,vorgashor,67.5833,63.95,-11.28,95,81,3.22,RU,1683392925
131,tralee,52.2704,-9.7026,14.99,73,38,4.88,IE,1683392917
132,hithadhoo,-0.6,73.0833,28.23,77,100,7.87,MV,1683392925
133,idabel,33.8957,-94.8263,29.89,72,20,0.0,US,1683392925
134,tobelo,1.7284,128.0095,27.01,82,75,1.42,ID,1683392926
135,tura,25.5198,90.2201,24.14,52,1,2.37,IN,1683392755
136,avarua,-21.2078,-159.775,25.03,100,40,0.51,CK,1683392900
137,sampit,-2.5333,112.95,24.17,98,97,0.58,ID,1683392654
138,kuta,-8.7233,115.1723,26.97,88,20,3.13,ID,1683392926
139,raduzhny,62.0961,77.475,2.42,99,100,2.91,RU,1683392926
140,sandpoint,48.2766,-116.5533,9.36,95,100,2.06,US,1683392926
141,mersa matruh,31.3525,27.2453,17.98,77,8,10.37,EG,1683392926
142,malvan,16.0667,73.4667,28.12,69,22,4.28,IN,1683392773
143,wailua homesteads,22.0669,-159.378,22.44,83,100,8.75,US,1683392927
144,talakan,50.3167,130.3667,7.33,48,55,0.65,RU,1683392927
145,port mathurin,-19.6833,63.4167,26.07,74,12,7.94,MU,1683392875
146,namibe,-15.1961,12.1522,22.9,80,15,5.35,AO,1683392879
147,longyearbyen,78.2186,15.6401,-1.09,74,75,5.14,SJ,1683392927
148,kununurra,-15.7667,128.7333,25.99,50,7,3.09,AU,1683392927
149,pacajus,-4.1725,-38.4606,30.64,60,64,3.24,BR,1683392927
150,petropavlovsk-kamchatsky,53.0452,158.6483,-1.79,100,99,3.69,RU,1683392927
151,codrington,-38.2667,141.9667,8.22,72,57,5.81,AU,1683392928
152,tolanaro,-25.0319,46.9987,22.33,88,42,4.24,MG,1683392928
153,qaqortoq,60.7167,-46.0333,3.48,67,11,2.67,GL,1683392928
154,yanam,16.7333,82.2167,27.72,85,44,1.48,IN,1683392928
155,portland,45.5234,-122.6762,13.99,77,100,0.89,US,1683392580
156,suzhou,31.3114,120.6181,14.3,88,100,3.51,CN,1683392688
157,utrik,11.2278,169.8474,27.17,78,17,7.81,MH,1683392928
158,trairi,-3.2778,-39.2689,29.91,66,44,5.78,BR,1683392822
159,as sulayyil,20.4607,45.5779,33.93,13,1,4.17,SA,1683392928
160,thulamahashi,-24.7246,31.1994,21.71,47,7,2.28,ZA,1683392928
161,badger,64.8,-147.5333,7.14,52,75,2.06,US,1683392929
162,dudinka,69.4058,86.1778,-20.01,100,35,1.32,RU,1683392929
163,tofol,5.3248,163.0078,28.19,80,36,6.49,FM,1683392929
164,choibalsan,48.0667,114.5,6.01,26,1,3.83,MN,1683392929
165,kone,-21.0595,164.8658,20.26,91,6,1.32,NC,1683392929
166,tindouf,27.6711,-8.1474,34.21,10,26,8.4,DZ,1683392929
167,aquidauana,-20.4711,-55.7872,31.36,48,18,1.11,BR,1683392929
168,santa ana,33.7456,-117.8678,19.37,66,40,2.06,US,1683392881
169,bilibino,68.0546,166.4372,-6.72,97,100,0.8,RU,1683392930
170,saint-philippe,-21.3585,55.7679,24.77,85,42,4.29,RE,1683392930
171,santiago de cao,-7.9589,-79.2392,25.07,73,24,6.17,PE,1683392930
172,saipan,15.1355,145.701,27.39,100,75,6.69,MP,1683392930
173,harper,4.375,-7.7169,28.82,75,61,3.63,LR,1683392930
174,kamloops,50.6665,-120.3192,9.86,86,100,3.09,CA,1683392790
175,tazovsky,67.4667,78.7,-9.74,95,100,3.33,RU,1683392893
176,sault ste. marie,46.5168,-84.3333,10.9,93,75,4.63,CA,1683392519
177,ambikapur,23.1167,83.2,26.85,26,22,0.84,IN,1683392930
178,piedmont,37.8244,-122.2316,14.4,90,100,2.24,US,1683392931
179,cukai,4.25,103.4167,26.5,86,98,0.41,MY,1683392936
180,rio rancho,35.2334,-106.6645,19.43,22,0,4.63,US,1683392687
181,whitehorse,60.7161,-135.0538,8.39,62,100,4.92,CA,1683392871
182,zhenlai,45.8495,123.2973,12.65,50,100,3.12,CN,1683392936
183,kerrville,30.0474,-99.1403,28.12,78,100,6.69,US,1683392686
184,teno,-34.8667,-71.1833,9.75,93,100,1.03,CL,1683392936
185,sisimiut,66.9395,-53.6735,0.05,94,100,4.35,GL,1683392936
186,tateyama,34.9833,139.8667,20.36,84,99,12.51,JP,1683392936
187,gdov,58.7406,27.8122,4.42,53,9,4.42,RU,1683392936
188,malabar,-33.9667,151.25,13.4,79,20,2.06,AU,1683392937
189,alice springs,-23.7,133.8833,10.75,62,100,5.13,AU,1683392937
190,newman,37.3138,-121.0208,16.8,71,97,4.47,US,1683392937
191,kiruna,67.8557,20.2251,3.51,38,75,4.12,SE,1683392937
192,nishon tumani,38.694,65.6751,17.14,55,0,3.09,UZ,1683392937
193,grayvoron,50.4767,35.6773,5.94,64,87,3.59,RU,1683392937
194,siwa oasis,29.2041,25.5195,25.7,29,9,5.4,EG,1683392937
195,daru,-9.0763,143.2092,25.93,89,99,4.51,PG,1683392937
196,qingnian,36.8456,115.7117,14.52,34,99,3.44,CN,1683392938
197,svyetlahorsk,52.6329,29.7389,5.87,57,84,3.09,BY,1683392938
198,ivdel',60.6911,60.4206,12.0,61,100,1.65,RU,1683392938
199,chonchi,-42.6128,-73.8092,12.56,91,65,1.3,CL,1683392938
200,dunedin,-45.8742,170.5036,12.67,99,0,4.02,NZ,1683392938
201,guerrero negro,27.9769,-114.0611,17.56,60,85,8.09,MX,1683392938
202,kitimat,54.0524,-128.6534,7.82,96,100,1.17,CA,1683392938
203,tadine,-21.55,167.8833,24.0,85,34,5.07,NC,1683392938
204,gaspra,44.4333,34.1,15.75,67,100,1.0,UA,1683392939
205,kutoarjo,-7.7169,109.9128,25.38,93,99,1.29,ID,1683392939
206,olhao,37.0286,-7.8411,25.72,71,20,8.75,PT,1683392939
207,mokopane,-24.1944,29.0097,23.06,33,45,0.05,ZA,1683392939
208,axim,4.8699,-2.2405,28.75,73,95,3.08,GH,1683392939
209,kill devil hills,36.0307,-75.676,18.01,64,0,3.09,US,1683392939
210,prince rupert,54.3161,-130.3201,9.05,87,100,2.06,CA,1683392939
211,olonkinbyen,70.9221,-8.7187,-0.18,98,100,4.07,SJ,1683392933
212,luderitz,-26.6481,15.1594,14.27,87,0,4.45,NA,1683392939
213,lihue,21.9789,-159.3672,22.77,84,100,8.75,US,1683392940
214,rizokarpaso,35.6,34.375,17.86,70,96,4.67,CY,1683392940
215,rampur,28.8167,79.0333,28.4,37,4,2.95,IN,1683392445
216,san clemente del tuyu,-36.3569,-56.7235,17.27,95,100,8.95,AR,1683392940
217,altai,46.3722,96.2583,0.91,85,100,4.68,MN,1683392940
218,inongo,-1.95,18.2667,23.88,90,63,1.74,CD,1683392940
219,san andres,12.5847,-81.7006,31.01,66,40,7.2,CO,1683392940
220,ad dabbah,18.05,30.95,36.49,7,54,6.26,SD,1683392941
221,ambato boeny,-16.4667,46.7167,25.29,56,0,1.07,MG,1683392941
222,freetown,8.484,-13.2299,28.21,73,98,3.5,SL,1683392941
223,lhasa,29.65,91.1,10.46,35,84,2.52,CN,1683392941
224,kingsford,-33.924,151.2275,13.41,80,20,2.06,AU,1683392941
225,gamba,-2.65,10.0,26.53,80,91,2.21,GA,1683392943
